track_name,track_id,track_popularity,album_name,album_id,album_artists_name,album_artists_ids,album_release_date,track_artists_name,track_artists_ids,is_track_artists_multiple,is_album_artists_multiple,played_at
stay alive,4nIUQbVHD7ts9wMmv7GNEW,14,stay alive,3F3pnDkkvlyqm3GzhFx1og,uyuni,2RKWObN13uSEWLSr866rSn,2020-11-18,"uyuni, Saint Vega","2RKWObN13uSEWLSr866rSn, 2q9fTUnXONSgnAW3boqrNc",false,true,2021-08-24 23:48:14
さよならアイデンティティー,6nfNlzHSbb08OmwkX4Fl6X,23,はじめてのよにげ,4eUdDGkMwqgWpBT5eZJRvy,yonige,6uovEmc6Z1C1aUvvdKACXQ,2018-10-12,yonige,6uovEmc6Z1C1aUvvdKACXQ,false,false,2021-08-24 23:45:05
恋人ごっこ,2SihT7AVMiI2VtaAyVIcnO,67,hope,5kArccOTc9R98l8GF1D0bF,マカロニえんぴつ,1t17z3vfuc82cxSDMrvryJ,2020-04-01,マカロニえんぴつ,1t17z3vfuc82cxSDMrvryJ,false,false,2021-08-24 23:40:14
ミッドナイト清純異性交遊,6wn4Ri9YkV4jQDeoayPkF7,32,絶対少女,6s64fKHWgRj1EP5mubROQh,大森靖子,24YRwiUM8Lj1bamuYNbeEr,2013-12-11,大森靖子,24YRwiUM8Lj1bamuYNbeEr,false,false,2021-08-24 23:36:52
踊るダメ人間,231JiLR94CsB1r6kI8Ac93,22,断罪!断罪!また断罪!!,0dGnIuhh3dXEK0MRTnqIVa,筋肉少女帯,49Ih923DaLzIEGqAe0PirH,1991-07-21,筋肉少女帯,49Ih923DaLzIEGqAe0PirH,false,false,2021-08-24 23:32:54
DUGOUT,6Aot7qCCZQmqOzWuziWyYC,28,絶体絶命,17cNTH9fRan9G3GgH3CFgm,RADWIMPS,1EowJ1WwkMzkCkRomFhui7,2011-03-09,RADWIMPS,1EowJ1WwkMzkCkRomFhui7,false,false,2021-08-24 23:27:56
Pick Me Up,4oENQixEdRK9leGCXnLtZz,35,COSMIC EXPLORER,0MPegfNyc92EuBWzWIr0FR,Perfume,2XMxWKPKCxoLkSdpCViCnr,2016-04-13,Perfume,2XMxWKPKCxoLkSdpCViCnr,false,false,2021-08-24 23:23:36
愛のままにわがままに 僕は君だけを傷つけない,0tY2EdfrJYjs9cTyglVmaq,44,B'z The Best “Pleasure”,7mEWXnxaJpIB7w859atpRW,B'z,7i9bNUSGORP5MIgrii3cJc,1998-05-20,B'z,7i9bNUSGORP5MIgrii3cJc,false,false,2021-08-24 23:19:46
愛のままに,3Z3ldilmAxJccTZv0GeUfq,52,切愛,7pvhBUlAVqaq40IiMJ5Szf,BASI,35WaRsrLTXoHhL5b9uI3Mq,2019-06-26,"BASI, 唾奇","35WaRsrLTXoHhL5b9uI3Mq, 2Bi1XtdmndNK6V2nlpI2A1",false,true,2021-08-24 23:15:49
ヨコハマカモメ,38mL14WFvFTy9xGLoWKjPL,6,凛々フルーツ,1ScYIF6UWATdkXpa3ld4Ih,アカシック,2P2L4d4iTJgApjJrawjPVT,2016-03-16,アカシック,2P2L4d4iTJgApjJrawjPVT,false,false,2021-08-24 23:11:21
ヨコハマクール,4gBi8hmmBvJ52ks1WkAO5w,5,プリチー,5euopzy06GK6OfZEMEdhFF,アカシック,2P2L4d4iTJgApjJrawjPVT,2014-10-08,アカシック,2P2L4d4iTJgApjJrawjPVT,false,false,2021-08-24 23:08:04
今夜がおわらない,41dfO7pqHNajHGB0QQWQvs,23,PS2015,1cCpRctldU0oHpfqyNyj7w,ふぇのたす,3WsvGdRJVNDoigGw6uXMcV,2015-03-11,ふぇのたす,3WsvGdRJVNDoigGw6uXMcV,false,false,2021-08-24 23:05:31
マカロニ,0yEcPB56T63DrdeS050Ihp,22,GAME,0thr93xfBqCFiia77XsjWi,Perfume,2XMxWKPKCxoLkSdpCViCnr,2008-04-16,Perfume,2XMxWKPKCxoLkSdpCViCnr,false,false,2021-08-24 23:01:11
あの娘に1ミリでもちょっかいかけたら殺す,1euEL1aLNb3AIFq0vXyUqq,24,君と僕の第三次世界大戦的恋愛革命,0xMqZoa9JrM6pwVW7jQBu8,銀杏BOYZ,2dP0aHVXt8dDPCw5d2Jw0m,2005,銀杏BOYZ,2dP0aHVXt8dDPCw5d2Jw0m,false,false,2021-08-24 22:56:30
なぜか今日は,2IjYVbvez8YP7KT3ynFMCM,37,I’M JUST A DOG,4D3kf7uqjm2aK6AGdaLhHc,The Birthday,58zME34zPsQx58YXCyFryH,2011-01-01,The Birthday,58zME34zPsQx58YXCyFryH,false,false,2021-08-24 22:52:22
spacecraft (feat.mako),7bQKZTYbOdpJLICtehCBCz,29,Long time no see.,11JdpWvo3Rn9YIdO4Ff6F1,sui sui duck,6asuiLN1ghRaYH2JoKcVAC,2019-12-18,sui sui duck,6asuiLN1ghRaYH2JoKcVAC,false,false,2021-08-24 22:48:14
Ho!,3wH729KfdryGOHbywWP1Lm,18,Me No Do Karate,5yuWF28EuLGYQ3dtGLjUAC,[Alexandros],1luOe8HkZQ7zwuaO2wuJqI,2013-06-26,[Alexandros],1luOe8HkZQ7zwuaO2wuJqI,false,false,2021-08-24 22:45:17
Ho!,3wH729KfdryGOHbywWP1Lm,18,Me No Do Karate,5yuWF28EuLGYQ3dtGLjUAC,[Alexandros],1luOe8HkZQ7zwuaO2wuJqI,2013-06-26,[Alexandros],1luOe8HkZQ7zwuaO2wuJqI,false,false,2021-08-24 22:41:02
チュープリ,1WfSkkxlg8jxtNmwE4Rmpr,39,family name,2pASbd6bx6KOiDOicC7dZX,ZOC,2cSY7oETuQa2uxWO7w5cDd,2019-04-30,ZOC,2cSY7oETuQa2uxWO7w5cDd,false,false,2021-08-24 20:27:44
あの頃のラブソングは捨てて,1I55ISvILJsYnNi2p7FxKt,39,あの頃のラヴソングは捨てて,5C6kawhfPPQqaQJJMQZsQN,Mr.ふぉるて,4JmNcZTOHBnR8PYl4LfIX6,2019-03-27,Mr.ふぉるて,4JmNcZTOHBnR8PYl4LfIX6,false,false,2021-08-24 17:42:25
